project,SA,description,NAME,quantity,VARL,EMUNT,VARW,EMUNT,VARX,EMUNT,VARY,EMUNT,VAR1,EMUNT,VAR2,EMUNT,VAR3,EMUNT,VAR4,EMUNT
talebi,10,ﬁÌœ “„Ì‰Ì,"QZ,",2,VARL,368,VARW,68,VARX,,VARY,,VAR1,0,VAR2,0,VAR3,0,VAR4,0
talebi,10,ò› “„Ì‰Ì,"KZ,P4",1,VARL,400,VARW,198,VARX,,VARY,,VAR1,0,VAR2,0,VAR3,0,VAR4,0
talebi,11,16„Ì· Å‘  “„Ì‰Ì,"16mmZ,",1,VARL,702,VARW,368,VARX,,VARY,,VAR1,0,VAR2,0,VAR3,0,VAR4,0
talebi,11,»œ‰Â çÅ “„Ì‰Ì-L,"BZL-LF,E1M",1,VARL,702,VARW,508,VARX,,VARY,,VAR1,0,VAR2,0,VAR3,0,VAR4,0
talebi,11,»œ‰Â —«” -L-H,"BZR-LF,E1M",1,VARL,702,VARW,508,VARX,,VARY,,VAR1,0,VAR2,0,VAR3,0,VAR4,0
talebi,11,œ— “„Ì‰Ì,"DAR-Z,Q2H",1,VARL,676,VARW,394,VARX,,VARY,,VAR1,0,VAR2,0,VAR3,0,VAR4,0
talebi,11,œ” êÌ—Â L,"0,",1,VARL,400,VARW,85,VARX,,VARY,,VAR1,0,VAR2,0,VAR3,0,VAR4,0
talebi,11,ÿ»ﬁÂ,"T,M",1,VARL,364,VARW,456,VARX,,VARY,,VAR1,0,VAR2,0,VAR3,0,VAR4,0
talebi,11,ﬁÌœ “„Ì‰Ì,"QZ,",2,VARL,368,VARW,68,VARX,,VARY,,VAR1,0,VAR2,0,VAR3,0,VAR4,0
talebi,11,ò› “„Ì‰Ì,"KZ,P4",1,VARL,400,VARW,508,VARX,,VARY,,VAR1,0,VAR2,0,VAR3,0,VAR4,0
talebi,12,16„Ì· Å‘  “„Ì‰Ì,"16mmZ,",1,VARL,702,VARW,768,VARX,,VARY,,VAR1,0,VAR2,0,VAR3,0,VAR4,0
talebi,12,»œ‰Â çÅ-L-H,"BZL-LF,E1M",1,VARL,702,VARW,508,VARX,,VARY,,VAR1,0,VAR2,0,VAR3,0,VAR4,0
talebi,12,»œ‰Â —«” -L-H,"BZR-LF,E1M",1,VARL,702,VARW,508,VARX,,VARY,,VAR1,0,VAR2,0,VAR3,0,VAR4,0
